hand,truco_score
1e 6c 7o,33.135136
1e 6c 7c,-0.4864865
1e 6c 10e,3.891892
1e 6c 10b,3.891892
1e 6c 10o,3.891892
1e 6c 10c,3.891892
1e 6c 11e,9.621622
1e 6c 11b,9.621622
1e 6c 11o,9.621622
1e 6c 11c,9.621622
1e 6c 12e,15.351352
1e 6c 12b,15.351352
1e 6c 12o,15.351352
1e 6c 12c,15.351352
1e 7e 7b,34.72973
1e 7e 7o,36
1e 7e 7c,34.72973
1e 7e 10e,34.89189
1e 7e 10b,34.89189
1e 7e 10o,34.89189
1e 7e 10c,34.89189
1e 7e 11e,35.10811
1e 7e 11b,35.10811
1e 7e 11o,35.10811
1e 7e 11c,35.10811
1e 7e 12e,35.324326
1e 7e 12b,35.324326
1e 7e 12o,35.324326
1e 7e 12c,35.324326
1e 7b 7o,33.45946
1e 7b 7c,3.5675676
1e 7b 10e,7.4594593
1e 7b 10b,7.4594593
1e 7b 10o,7.4594593
1e 7b 10c,7.4594593
1e 7b 11e,12.540541
1e 7b 11b,12.540541
1e 7b 11o,12.540541
1e 7b 11c,12.540541
1e 7b 12e,17.621622
1e 7b 12b,17.621622
1e 7b 12o,17.621622
1e 7b 12c,17.621622
1e 7o 7c,33.45946
1e 7o 10e,33.783783
1e 7o 10b,33.783783
1e 7o 10o,33.783783
1e 7o 10c,33.783783
1e 7o 11e,34.216217
1e 7o 11b,34.216217
1e 7o 11o,34.216217
1e 7o 11c,34.216217
1e 7o 12e,34.648647
1e 7o 12b,34.648647
1e 7o 12o,34.648647
1e 7o 12c,34.648647
1e 7c 10e,7.4594593
1e 7c 10b,7.4594593
1e 7c 10o,7.4594593
1e 7c 10c,7.4594593
1e 7c 11e,12.540541
1e 7c 11b,12.540541
1e 7c 11o,12.540541
1e 7c 11c,12.540541
1e 7c 12e,17.621622
1e 7c 12b,17.621622
1e 7c 12o,17.621622
1e 7c 12c,17.621622
1e 10e 10b,11.027027
1e 10e 10o,11.027027
1e 10e 10c,11.027027
1e 10e 11e,15.621622
1e 10e 11b,15.621622
1e 10e 11o,15.621622
1e 10e 11c,15.621622
1e 10e 12e,20.054054
1e 10e 12b,20.054054
1e 10e 12o,20.054054
1e 10e 12c,20.054054
1e 10b 10o,11.027027
1e 10b 10c,11.027027
1e 10b 11e,15.621622
1e 10b 11b,15.621622
1e 10b 11o,15.621622
1e 10b 11c,15.621622
1e 10b 12e,20.054054
1e 10b 12b,20.054054
1e 10b 12o,20.054054
1e 10b 12c,20.054054
1e 10o 10c,11.027027
1e 10o 11e,15.621622
1e 10o 11b,15.621622
1e 10o 11o,15.621622
1e 10o 11c,15.621622
1e 10o 12e,20.054054
1e 10o 12b,20.054054
1e 10o 12o,20.054054
1e 10o 12c,20.054054
1e 10c 11e,15.621622
1e 10c 11b,15.621622
1e 10c 11o,15.621622
1e 10c 11c,15.621622
1e 10c 12e,20.054054
1e 10c 12b,20.054054
1e 10c 12o,20.054054
1e 10c 12c,20.054054
1e 11e 11b,19.45946
1e 11e 11o,19.45946
1e 11e 11c,19.45946
1e 11e 12e,23.18919
1e 11e 12b,23.18919
1e 11e 12o,23.18919
1e 11e 12c,23.18919
1e 11b 11o,19.45946
1e 11b 11c,19.45946
1e 11b 12e,23.18919
1e 11b 12b,23.18919
1e 11b 12o,23.18919
1e 11b 12c,23.18919
1e 11o 11c,19.45946
1e 11o 12e,23.18919
1e 11o 12b,23.18919
1e 11o 12o,23.18919
1e 11o 12c,23.18919
1e 11c 12e,23.18919
1e 11c 12b,23.18919
1e 11c 12o,23.18919
1e 11c 12c,23.18919
1e 12e 12b,26.162163
1e 12e 12o,26.162163
1e 12e 12c,26.162163
1e 12b 12o,26.162163
1e 12b 12c,26.162163
1e 12o 12c,26.162163
1b 1o 1c,29.250965
1b 1o 2e,30.951351
1b 1o 2b,30.951351
1b 1o 2o,30.951351
1b 1o 2c,30.951351
1b 1o 3e,33.116604
1b 1o 3b,33.116604
1b 1o 3o,33.116604
1b 1o 3c,33.116604
1b 1o 4e,13.246332
1b 1o 4b,13.246332
1b 1o 4o,13.246332
1b 1o 4c,13.246332
1b 1o 5e,15.819305
1b 1o 5b,15.819305
1b 1o 5o,15.819305
